name,official_url,download_date,license,file_path,file_size,sha256,file_type,schema_preview,contains,trust_level,intended_role,warnings,status
CryptoBench (OSF API search),https://api.osf.io/v2/nodes/?filter[title]=CryptoBench,2026-05-27T18:53:33Z,UNKNOWN,,,,,,,UNVERIFIED,,OSF API returned no result,INACCESSIBLE
CryptoBench OSF search page,https://osf.io/search/?q=CryptoBench,2026-05-27T18:53:33Z,UNKNOWN,data\raw_intake\cryptobench\osf_search_page.html,4.2 KB,b822066d7d70e4af25ab91701580983fd38ae77401008bf5dd770eb50145332f,HTML,,metadata,LINKED_ONLY,CryptoBench discovery,,ACQUIRED
CryptoBench GitHub search results,https://api.github.com/search/repositories?q=CryptoBench+cryptic+pocket,2026-05-27T18:53:33Z,UNKNOWN,data\raw_intake\cryptobench\github_search_cryptobench.json,72 B,53895997f5e07566d90a3f34b7fbb880fb1acf32d885aa31fbb268a6d7769d2a,JSON,,metadata,OFFICIAL_API,CryptoBench repo discovery,,ACQUIRED
RCSB PCNA full-text search results,https://search.rcsb.org/rcsbsearch/v2/query,2026-05-27T18:53:33Z,Public Domain (PDB data policy),data\raw_intake\rcsb_pdb\rcsb_pcna_search_results.json,4.1 KB,95ed9ca58c4a8cd2ce6ddf15ea132a38e9fe5e1ac087fb3fb3579df1358ba9c1,JSON,,metadata,OFFICIAL_API,PCNA structure discovery,Full-text search; check each structure relevance manually,ACQUIRED
RCSB PDB 8GLA metadata,https://www.rcsb.org/structure/8GLA,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\8GLA_metadata.json,19.7 KB,f5281ca8fad1055dfeaf32b9de3070dd87a9131577790a28250ef173f3f4dead,JSON (RCSB REST API),"method=X-ray, resolution=3.77Å, organism=Homo sapiens, chains=1, nonpoly=2, ligands=[]",structures|metadata,OFFICIAL_API,positive-control (cryptic pocket ligand),8GLA contains AOH1996 bound at cryptic PCNA pocket — use as positive control only,ACQUIRED
RCSB PDB 8GLA mmCIF,https://files.rcsb.org/download/8GLA.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\8GLA.cif,826.0 KB,8c88e5ef1fe2df0403bcd2e56e5e626711949600bbcee6d51b749ffabb630bec,mmCIF,data_8GLA,structures,OFFICIAL_DOWNLOAD,PCNA positive-control structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 1W60 metadata,https://www.rcsb.org/structure/1W60,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\1W60_metadata.json,14.8 KB,58b5ebde62c0412880214d60ae499c225c331b75bf75bdb1dddcc4db1ae39924,JSON (RCSB REST API),"method=X-ray, resolution=3.15Å, organism=HOMO SAPIENS, chains=1, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA reference structure,,ACQUIRED
RCSB PDB 1W60 mmCIF,https://files.rcsb.org/download/1W60.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\1W60.cif,434.5 KB,bceb8eaede5fb7a356ef8b293aae75ef3f8cd3564b81c60c4f16827afcddf9a8,mmCIF,data_1W60,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 1AXC metadata,https://www.rcsb.org/structure/1AXC,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\1AXC_metadata.json,15.8 KB,40181cdc665d9d7ddab317e0d8ac96539b837d985f80626deb6b071626f3493f,JSON (RCSB REST API),"method=X-ray, resolution=2.6Å, organism=Homo sapiens, chains=2, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 1AXC mmCIF,https://files.rcsb.org/download/1AXC.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\1AXC.cif,853.7 KB,f9472769dcbceec05533fa1a85e617dd50e2dde66f2c9f6554d52a2ecc1ec135,mmCIF,data_1AXC,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 1W63 metadata,https://www.rcsb.org/structure/1W63,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\1W63_metadata.json,18.8 KB,53ee4a1ddfa938e31766bf9bb994fba7d3cd91c10a53d1ef567974e67287719a,JSON (RCSB REST API),"method=X-ray, resolution=4.0Å, organism=MUS MUSCULUS, chains=4, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 1W63 mmCIF,https://files.rcsb.org/download/1W63.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\1W63.cif,7.98 MB,589a2a1e36ae13268d6551ea9b475aeb3a18cceab77a47238fe2ff8e7089a09b,mmCIF,data_1W63,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 3JAB metadata,https://www.rcsb.org/structure/3JAB,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\3JAB_metadata.json,17.8 KB,6681eada583adfc1699a1ea60463342811aa0eb36a0c29e2ab90a8b30e7aa508,JSON (RCSB REST API),"method=EM, resolution=11.0Å, organism=Bos taurus, chains=6, nonpoly=1, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 3JAB mmCIF,https://files.rcsb.org/download/3JAB.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\3JAB.cif,1.80 MB,ff031a497ddc10992f40a658ab9e78ba5b5c243d5ccd9b7627876bbd65a6b9d5,mmCIF,data_3JAB,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 6GIS metadata,https://www.rcsb.org/structure/6GIS,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\6GIS_metadata.json,30.4 KB,07759ecbce59147a1b2483b71d3e3d36669e7dd104bc53347c485c344e9e7db5,JSON (RCSB REST API),"method=X-ray, resolution=2.82Å, organism=Homo sapiens, chains=3, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
RCSB PDB 6GIS mmCIF,https://files.rcsb.org/download/6GIS.cif,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\6GIS.cif,1.20 MB,11abcc8d33f474a8eb01574d2480e3b1aebc2a93ddff78632f89d6b8ee7ebe35,mmCIF,data_6GIS,structures,OFFICIAL_DOWNLOAD,PCNA reference structure,Not adopted for training — experimental structure only,ACQUIRED
RCSB PDB 1VYJ metadata,https://www.rcsb.org/structure/1VYJ,2026-05-27T18:53:33Z,Public Domain (wwPDB open access),data\raw_intake\pcna_structures\1VYJ_metadata.json,17.7 KB,324496643c428ec5fda3e9a04a628bde80b737607fa0120e98e362883543576f,JSON (RCSB REST API),"method=X-ray, resolution=2.8Å, organism=HOMO SAPIENS, chains=2, nonpoly=0, ligands=[]",structures|metadata,OFFICIAL_API,PCNA structure inventory,,ACQUIRED
