#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)","Time Remaining"
1.6%,200000,400.00000000118183,-2683208.9252254423,300.4142184958779,1.0120077559138854,0,--
1.8%,225000,450.0000000014206,-2684643.9643192347,301.11627000729203,1.010638815591477,183,3:13:01
2.0%,250000,500.0000000016593,-2685024.931662446,300.171719319624,1.0135387349139995,182,3:13:36
2.2%,275000,550.000000000818,-2681395.3909274936,300.92813818337953,1.010918329403877,182,3:13:31
2.4%,300000,599.9999999996356,-2684985.4704808183,299.404831901739,1.0132729741946638,182,3:12:55
2.6%,325000,649.9999999984533,-2686125.967646342,299.1883851420329,1.013642388037342,182,3:12:49
2.8%,350000,699.999999997271,-2681240.033195898,301.1328946315282,1.0140534463682909,182,3:12:29
3.0%,375000,749.9999999960886,-2685105.4073624145,300.78294179807824,1.0136703761514343,182,3:11:52
3.2%,400000,799.9999999949063,-2684786.4040787183,300.1591391340197,1.0137098325785487,182,3:11:18
3.4%,425000,849.9999999937239,-2684075.628904134,300.3464941984209,1.0135723741524525,182,3:11:03
3.6%,450000,899.9999999925416,-2688132.3718556594,300.0408801118294,1.0124664917181383,182,3:10:34
3.8%,475000,949.9999999913592,-2685854.746428445,301.4362643422803,1.0135644229767269,182,3:09:59
4.0%,500000,999.9999999901769,-2683310.2280464247,300.87833273063853,1.0106602963772893,182,3:09:35
4.2%,525000,1049.9999999889947,-2683935.659554288,300.4110846159766,1.0127217531847121,182,3:09:10
4.4%,550000,1099.9999999878123,-2684253.4334765114,300.9390060846163,1.0124564553364637,182,3:08:52
4.6%,575000,1149.99999998663,-2686274.0069556404,300.2174383096995,1.014170605227843,182,3:08:30
4.8%,600000,1199.9999999854476,-2681349.6336294003,299.98040708591515,1.0127302957582607,182,3:08:15
5.0%,625000,1249.9999999842653,-2682564.8225190192,300.33058206265787,1.0105129013623224,182,3:07:49
5.2%,650000,1299.999999983083,-2682994.6204054356,299.7873399362156,1.0141429544053162,182,3:07:21
5.4%,675000,1349.9999999819006,-2686081.9155304134,300.82422829341385,1.0139486710733314,182,3:06:53
5.6%,700000,1399.9999999807183,-2684888.5205067024,300.01406381420855,1.0140329510300963,182,3:06:31
5.8%,725000,1449.999999979536,-2684931.483315259,300.6101977988036,1.0111657901194326,182,3:06:07
6.0%,750000,1499.9999999783536,-2682705.198653916,300.4677927414248,1.012220506143596,182,3:05:51
6.2%,775000,1549.9999999771712,-2682264.9886242393,300.6242952420456,1.0150487673568833,182,3:05:30
6.4%,800000,1599.9999999759889,-2686356.824323844,300.02479820437765,1.0146521681029061,182,3:05:04
6.6%,825000,1649.9999999748065,-2687916.72716449,300.9913780567001,1.0130125180218912,182,3:04:46
6.8%,850000,1699.9999999736242,-2684097.131948186,300.3208329996808,1.0137136485420268,182,3:04:23
7.0%,875000,1749.9999999724419,-2684090.7208561823,300.5889838995733,1.0132407180875942,182,3:04:02
7.2%,900000,1799.9999999712595,-2685402.548405012,299.440279745662,1.0131624577796345,182,3:03:40
7.4%,925000,1849.9999999700772,-2686135.2422713675,300.91943493031164,1.0138887066196736,182,3:03:18
7.6%,950000,1899.9999999688948,-2686306.086877987,301.8583213535234,1.0132223865389833,182,3:02:56
7.8%,975000,1949.9999999677125,-2687030.470536161,299.7234375653894,1.0134594665937506,182,3:02:32
8.0%,1000000,1999.9999999665301,-2684194.2684969753,300.1225690764305,1.0154478556028985,182,3:02:10
8.2%,1025000,2049.999999965348,-2682824.1299073286,300.01732272132836,1.012079294899235,182,3:01:46
8.4%,1050000,2099.9999999641655,-2683347.051376365,300.33559775932935,1.0125013750941196,182,3:01:20
8.6%,1075000,2149.999999962983,-2681061.1284999885,299.764186959247,1.0130930948584689,182,3:00:57
8.8%,1100000,2199.9999999618008,-2683413.993139824,299.68015005493055,1.0117293205235063,182,3:00:34
9.0%,1125000,2249.9999999606184,-2686910.3451797664,300.90682919679205,1.0147925962428113,182,3:00:09
9.2%,1150000,2299.999999959436,-2684347.6881340668,301.7164819036775,1.0148742524533845,182,2:59:45
9.4%,1175000,2349.9999999582537,-2681874.5157640725,299.3151352435165,1.012358355471522,182,2:59:18
9.6%,1200000,2399.9999999570714,-2683907.755044803,301.49557148038224,1.011081840942497,182,2:58:54
9.8%,1225000,2449.999999955889,-2682951.944578074,300.2750008734823,1.0124632979193255,182,2:58:32
10.0%,1250000,2499.9999999547067,-2685894.891605761,301.3844650685694,1.013820952147591,182,2:58:06
10.2%,1275000,2549.9999999535244,-2682945.421368083,299.9207784901628,1.0118930305971674,182,2:57:41
10.4%,1300000,2599.999999952342,-2682763.000514906,300.03134843244453,1.0107415022766744,182,2:57:18
10.6%,1325000,2649.9999999511597,-2680641.011781469,300.7782112635845,1.01315078722871,182,2:56:54
10.8%,1350000,2699.9999999499773,-2683326.876105452,299.2329757791835,1.0125884072778466,182,2:56:33
11.0%,1375000,2749.999999948795,-2684815.3461201843,299.7505197438536,1.0119811983283102,182,2:56:06
11.2%,1400000,2799.9999999476127,-2683672.7754465155,298.31771246010373,1.011627823785489,182,2:55:44
11.4%,1425000,2849.9999999464303,-2686527.426546227,300.1912767756995,1.0125352116234196,182,2:55:20
11.6%,1450000,2899.999999945248,-2683752.9215697926,301.2547523949922,1.0116653032250396,182,2:54:55
11.8%,1475000,2949.9999999440656,-2685958.2871691454,300.72816007953577,1.0134430625585347,182,2:54:31
12.0%,1500000,2999.9999999428833,-2684820.154411787,301.1747212947094,1.0123466656284315,182,2:54:07
12.2%,1525000,3049.999999941701,-2686023.769749541,301.1436087911464,1.0120454954615345,182,2:53:42
12.4%,1550000,3099.9999999405186,-2685265.0422558673,301.61564748061147,1.0140204326181623,182,2:53:19
12.6%,1575000,3149.9999999393362,-2684459.0682613626,298.86441601475167,1.013272531449137,182,2:52:56
12.8%,1600000,3199.999999938154,-2684718.859938374,299.84636762651155,1.0132995091100816,182,2:52:32
13.0%,1625000,3249.9999999369716,-2682748.617526414,300.61371767915915,1.0134257969233507,182,2:52:08
13.2%,1650000,3299.999999935789,-2684760.1982345767,299.3024341012065,1.0134590181279646,182,2:51:45
13.4%,1675000,3349.999999934607,-2682320.897984449,300.15311069193746,1.0130448285665667,182,2:51:24
13.6%,1700000,3399.9999999334245,-2683654.987899663,300.07674422159465,1.0122507190686258,182,2:51:00
13.8%,1725000,3449.999999932242,-2684667.161577929,300.2858788702429,1.0112287840653607,182,2:50:38
14.0%,1750000,3499.99999993106,-2685314.2084361184,300.94181143922833,1.012438033336893,182,2:50:14
14.2%,1775000,3549.9999999298775,-2682014.055270966,300.25086606797544,1.014182188378504,182,2:49:50
14.4%,1800000,3599.999999928695,-2685614.516432181,299.4493390338365,1.0130500178731405,182,2:49:25
14.6%,1825000,3649.999999927513,-2684176.1960655414,299.7947180723209,1.01392876066886,182,2:49:02
14.8%,1850000,3699.9999999263305,-2683456.1497430857,300.01359552202985,1.012682505357403,182,2:48:40
15.0%,1875000,3749.999999925148,-2681989.090505488,300.21142189719393,1.0128457446590224,182,2:48:17
15.2%,1900000,3799.999999923966,-2684040.7999587655,301.9621111304439,1.0120374034879094,182,2:47:56
15.4%,1925000,3849.9999999227834,-2684478.5421790183,299.48570851868755,1.013353762742265,182,2:47:32
15.6%,1950000,3899.999999921601,-2681565.5379599407,299.8508930082077,1.0110995353270262,182,2:47:08
15.8%,1975000,3949.9999999204188,-2683337.2432221454,299.4856294443486,1.0112845300431077,182,2:46:46
16.0%,2000000,3999.9999999192364,-2685611.7150620166,299.49069772300567,1.0135975618914648,182,2:46:24
16.2%,2025000,4049.999999918054,-2684527.4446661174,300.0486662319744,1.0131277146720044,182,2:46:00
16.4%,2050000,4099.999999917781,-2684219.4436375163,300.5241319725365,1.0122548256155133,182,2:45:36
16.6%,2075000,4149.999999927967,-2683648.603913242,300.7683929230399,1.0129981254999387,182,2:45:12
16.8%,2100000,4199.999999938153,-2684476.732220277,301.26178150705977,1.0118840111766778,182,2:44:48
17.0%,2125000,4249.99999994834,-2686510.882554205,300.27676763379026,1.015565557638777,182,2:44:22
17.2%,2150000,4299.999999958526,-2681210.525714444,299.9340853193601,1.0104555354876883,182,2:43:58
17.4%,2175000,4349.9999999687125,-2682655.9406713825,301.11561150254613,1.0122671065594804,182,2:43:33
17.6%,2200000,4399.999999978899,-2683042.671294598,300.3995763391281,1.0115468511742578,182,2:43:10
17.8%,2225000,4449.999999989085,-2683586.2348846644,300.4874178939491,1.013852322823473,182,2:42:47
18.0%,2250000,4499.9999999992715,-2684750.299786303,299.5753793884382,1.0118075536872013,182,2:42:25
18.2%,2275000,4550.000000009458,-2684539.0650610067,300.14797022253936,1.0121386377035833,182,2:42:00
18.4%,2300000,4600.000000019644,-2684226.1575876325,299.749091202153,1.0135707615562997,182,2:41:37
18.6%,2325000,4650.0000000298305,-2683085.693905439,299.93135886930247,1.0135583317485595,182,2:41:13
18.8%,2350000,4700.000000040017,-2684163.272009149,300.94627555375274,1.0122252096818645,182,2:40:50
19.0%,2375000,4750.000000050203,-2685571.589270219,301.15419223697336,1.013078291178565,182,2:40:26
19.2%,2400000,4800.0000000603895,-2685586.4372620806,300.32945298298677,1.0133722303143051,182,2:40:03
19.4%,2425000,4850.000000070576,-2682559.64138142,299.95620620571214,1.011078216475797,182,2:39:39
19.6%,2450000,4900.000000080762,-2683854.5552443266,299.9074894695151,1.0124558833490653,182,2:39:16
19.8%,2475000,4950.000000090949,-2683391.010558555,299.7332936993766,1.013819030119921,182,2:38:51
20.0%,2500000,5000.000000101135,-2683391.093128575,299.78113189638805,1.0143297356700207,182,2:38:28
20.2%,2525000,5050.000000111321,-2683553.419160811,300.7980309690844,1.0134810243398813,182,2:38:04
20.4%,2550000,5100.000000121508,-2684795.803276621,299.9425059522028,1.0156861497122345,182,2:37:40
20.6%,2575000,5150.000000131694,-2684673.872087937,301.26623666273554,1.01263085555846,182,2:37:16
20.8%,2600000,5200.00000014188,-2684746.144986434,300.4668429230176,1.0139075964253648,182,2:36:53
21.0%,2625000,5250.000000152067,-2683121.925493438,301.13521762844186,1.0112598152480956,182,2:36:29
21.2%,2650000,5300.000000162253,-2683718.0824978855,299.6628653748285,1.0117957127010706,182,2:36:05
21.4%,2675000,5350.000000172439,-2683545.689785147,300.1715148953384,1.01179001247114,182,2:35:41
21.6%,2700000,5400.000000182626,-2681159.2621787973,300.7690413112278,1.011180364512456,182,2:35:16
21.8%,2725000,5450.000000192812,-2685052.0498629026,300.3780823200825,1.0131358516516336,182,2:34:52
22.0%,2750000,5500.000000202998,-2685171.278790273,299.9221768976929,1.0136548340175993,182,2:34:28
22.2%,2775000,5550.000000213185,-2683603.4622754473,300.7509814812816,1.013058452222194,182,2:34:04
22.4%,2800000,5600.000000223371,-2685364.134703405,300.79174781663045,1.011571436897178,182,2:33:40
22.6%,2825000,5650.000000233557,-2682299.2046132702,300.3106776436955,1.011944916690081,182,2:33:16
22.8%,2850000,5700.000000243744,-2686650.5041862633,299.62965869060616,1.0128753376482575,182,2:32:52
23.0%,2875000,5750.00000025393,-2681956.2595503684,300.2067452818233,1.011882577002596,182,2:32:27
23.2%,2900000,5800.000000264116,-2685596.135695815,300.19934346959735,1.0117253240205097,182,2:32:05
23.4%,2925000,5850.000000274303,-2681591.5391672347,300.92568483755343,1.012140816793039,182,2:31:40
23.6%,2950000,5900.000000284489,-2683723.684046522,300.0786399123591,1.0121340472983278,182,2:31:17
23.8%,2975000,5950.000000294675,-2686213.544788286,300.524768982442,1.0122413636797831,182,2:30:52
24.0%,3000000,6000.000000304862,-2684227.113909615,299.784637626271,1.0119754012606734,182,2:30:28
24.2%,3025000,6050.000000315048,-2687919.3325059433,298.85091945027705,1.0130924786576332,182,2:30:04
24.4%,3050000,6100.000000325234,-2680618.334779097,299.4895672774233,1.012488305819216,182,2:29:41
24.6%,3075000,6150.000000335421,-2682704.771803668,299.61903001688876,1.011973727242998,182,2:29:17
24.8%,3100000,6200.000000345607,-2687169.4045050517,300.03811504054875,1.0140856175173352,182,2:28:54
25.0%,3125000,6250.000000355793,-2683509.708859103,299.7787541098431,1.0122781876502653,182,2:28:29
25.2%,3150000,6300.00000036598,-2682081.4547008164,300.33875952652636,1.010977298307902,182,2:28:05
25.4%,3175000,6350.000000376166,-2684187.664349865,301.3241774723797,1.0150879934618928,182,2:27:41
25.6%,3200000,6400.000000386352,-2684304.5011247396,299.7571493596527,1.0129843957323805,182,2:27:17
25.8%,3225000,6450.000000396539,-2683417.823520435,301.8831529968989,1.012657355875865,182,2:26:53
26.0%,3250000,6500.000000406725,-2684144.3332245536,299.38939709798177,1.0128467643005699,182,2:26:29
26.2%,3275000,6550.0000004169115,-2684297.2003566083,300.4107630978356,1.0132613760017015,182,2:26:04
26.4%,3300000,6600.000000427098,-2680339.4221950993,301.03138426046996,1.0116613640928924,182,2:25:41
26.6%,3325000,6650.000000437284,-2684086.967216851,299.4059305818918,1.0117520947598242,182,2:25:16
26.8%,3350000,6700.0000004474705,-2682425.1442916878,299.8398490543838,1.011494003668016,182,2:24:52
27.0%,3375000,6750.000000457657,-2684192.132369306,301.10349649109,1.01273018400399,182,2:24:29
27.2%,3400000,6800.000000467843,-2683674.0175672323,300.35304405008014,1.0126749564075084,182,2:24:05
27.4%,3425000,6850.0000004780295,-2685140.373790888,299.6330346483765,1.0141260416269302,182,2:23:42
27.6%,3450000,6900.000000488216,-2686183.236229636,301.16460156415513,1.0142574343587245,182,2:23:19
27.8%,3475000,6950.000000498402,-2683487.9046583436,301.07691694744693,1.0114481840915621,182,2:22:55
28.0%,3500000,7000.0000005085885,-2681020.979396919,300.3905713988867,1.0117392242775494,182,2:22:30
28.2%,3525000,7050.000000518775,-2683908.603026472,301.18534801044075,1.0115155644856715,182,2:22:07
28.4%,3550000,7100.000000528961,-2683812.0554723106,299.60836099028677,1.010821934505064,182,2:21:43
