id,category,title,authors,year,venue,doi,url,source_kind,cited_by_count,relevance_score,query,relevance,openalex_id,abstract
SRC-0001,official_dataset_or_repo,RCSB Protein Data Bank,RCSB PDB,2026,Official database,,https://www.rcsb.org/,official_database,,,manual_seed,source of PCNA structural data and PDB metadata,,
SRC-0002,official_dataset_or_repo,UniProt Knowledgebase,UniProt Consortium,2026,Official database,,https://www.uniprot.org/,official_database,,,manual_seed,canonical sequence and annotation source,,
SRC-0003,official_dataset_or_repo,PyTorch Geometric documentation,PyG team,2026,Official documentation,,https://pytorch-geometric.readthedocs.io/,official_docs,,,manual_seed,implementation framework and batching semantics,,
SRC-0004,official_dataset_or_repo,GROMACS documentation,GROMACS contributors,2026,Official documentation,,https://manual.gromacs.org/,official_docs,,,manual_seed,MD reproducibility and simulation protocol reference,,
SRC-0005,official_dataset_or_repo,PLUMED documentation,PLUMED consortium,2026,Official documentation,,https://www.plumed.org/doc,official_docs,,,manual_seed,metadynamics/enhanced sampling methods,,
SRC-0006,official_dataset_or_repo,PocketMiner official code repository,Durrant Lab / PocketMiner contributors,2023,GitHub,,https://github.com/durrantlab/pocketminer,official_repo,,,manual_seed,central implementation reference for cryptic pocket GNN baseline,,
SRC-0007,official_dataset_or_repo,ESM official repository,Meta AI / FAIR,2022,GitHub,,https://github.com/facebookresearch/esm,official_repo,,,manual_seed,protein language model embeddings,,
SRC-0008,official_dataset_or_repo,GNINA official repository,McNutt et al. / gnina contributors,2021,GitHub,,https://github.com/gnina/gnina,official_repo,,,manual_seed,deep learning docking baseline/tool,,
SRC-0009,official_dataset_or_repo,AlphaFold Protein Structure Database,DeepMind / EMBL-EBI,2021,Official database,,https://alphafold.ebi.ac.uk/,official_database,,,manual_seed,predicted structures and confidence metadata,,
SRC-0010,official_dataset_or_repo,Open Graph Benchmark official website,OGB team,2020,Official benchmark,,https://ogb.stanford.edu/,official_benchmark,,,manual_seed,benchmark philosophy and split/evaluation standards,,
