pdb_id,is_pcna,n_residues,n_chains,n_edges,has_labels,n_pos_labels,auroc,mean_score,std_score,max_score,pct_above_04,pct_above_05,n_pockets,top_chain,top_resid
1BLR,False,137,1,1316,False,0,nan,0.1886,0.1649,0.6844,11.7,5.1,2,A,35
1BU9,False,168,1,1940,False,0,nan,0.0202,0.0043,0.0388,0.0,0.0,0,A,107
1C3I,False,343,2,3312,True,17,0.9724,0.0972,0.1842,0.7999,8.5,6.4,5,B,220
1C5H,False,185,1,1868,False,0,nan,0.0641,0.0072,0.0826,0.0,0.0,0,A,22
1D09,False,926,4,9222,True,24,0.9526,0.0978,0.1876,0.9347,6.9,5.9,6,A,267
1E2X,False,222,1,2106,False,0,nan,0.0442,0.0896,0.7977,1.8,1.8,1,A,46
1E3V,False,257,2,2680,True,12,0.9731,0.0595,0.0833,0.5837,1.6,0.8,1,A,40
1FBO,False,629,1,6594,True,5,0.9936,0.0436,0.0111,0.1149,0.0,0.0,0,A,45
1GBG,False,214,1,2222,False,0,nan,0.0332,0.0068,0.0743,0.0,0.0,0,A,138
1GQY,False,937,2,9476,True,39,0.961,0.0624,0.1552,0.914,4.5,3.4,5,B,348
1HP2,False,37,1,364,False,0,nan,0.049,0.0057,0.0644,0.0,0.0,0,A,5
1IQD,False,564,3,5732,False,0,nan,0.0345,0.021,0.177,0.0,0.0,0,B,137
1JBP,False,359,2,3334,True,21,0.9776,0.0634,0.1531,0.922,4.5,2.8,1,A,120
1JWP,False,263,1,2710,False,0,nan,0.0529,0.1276,0.8558,3.0,2.3,1,A,71
1K3Y,False,442,2,4160,True,28,0.8469,0.0493,0.1145,0.8406,2.5,2.3,2,A,12
1LB6,False,164,2,1526,False,0,nan,0.0353,0.0198,0.1467,0.0,0.0,0,A,378
1M17,False,312,1,2848,True,16,0.9715,0.1012,0.2082,0.9125,9.0,8.3,1,A,767
1O3P,False,254,2,2664,True,23,0.9545,0.0825,0.2034,0.9,7.9,6.7,1,B,192
1OG2,False,922,2,8916,True,44,0.9829,0.0771,0.196,0.9137,6.6,6.2,6,A,438
1OIN,False,885,2,9274,True,3,0.9872,0.0305,0.0164,0.1644,0.0,0.0,0,A,400
1ONE,False,872,2,9740,True,16,0.9909,0.05,0.1303,0.9454,2.6,2.5,3,A,374
1P9Y,False,234,2,2040,True,14,0.9263,0.1149,0.2063,0.8659,10.3,7.3,2,B,89
1PDZ,False,433,1,4706,True,6,0.9953,0.0458,0.1178,0.9459,1.8,1.8,1,A,373
1PZO,False,263,1,2704,True,19,0.5811,0.0539,0.129,0.8581,3.0,2.7,1,A,71
1Q5H,False,405,3,4206,True,48,0.7848,0.053,0.1098,0.7932,3.0,2.2,2,C,134
1RJ8,False,840,6,9100,False,0,nan,0.0509,0.037,0.358,0.0,0.0,0,B,368
1SQO,False,245,1,2518,True,16,0.9847,0.0828,0.2045,0.8985,7.8,7.8,1,A,208
1THJ,False,639,3,7302,False,0,nan,0.0326,0.0312,0.2803,0.0,0.0,0,A,116
1TML,False,286,1,2950,False,0,nan,0.0522,0.0476,0.4116,0.3,0.0,0,A,158
1V48,False,261,1,2532,True,16,0.9543,0.0603,0.1314,0.8719,3.8,2.3,2,A,117
1VFB,False,352,3,3538,False,0,nan,0.0363,0.0336,0.3537,0.0,0.0,0,C,54
1W4E,False,45,1,406,False,0,nan,0.0392,0.0045,0.0495,0.0,0.0,0,A,131
1W9H,False,398,1,3896,False,0,nan,0.0418,0.0212,0.2656,0.0,0.0,0,A,116
1XHY,False,259,1,2518,True,12,0.9929,0.0537,0.1302,0.8987,2.7,2.7,1,A,137
1XKK,False,289,1,2714,True,24,0.967,0.0984,0.2031,0.9028,9.0,8.3,2,A,790
1XQ4,False,480,4,4774,False,0,nan,0.0423,0.0082,0.0944,0.0,0.0,0,B,82
1YCS,False,384,2,3796,False,0,nan,0.0414,0.0155,0.115,0.0,0.0,0,B,511
1Z7X,False,1172,4,12834,False,0,nan,0.0442,0.0398,0.4534,0.2,0.0,0,A,292
1ZC3,False,564,4,5406,True,50,0.9964,0.0802,0.1905,0.9228,6.6,5.9,6,A,26
2AM9,False,250,1,2344,True,13,0.963,0.0549,0.0216,0.1838,0.0,0.0,0,A,707
2B8H,False,1552,4,17916,True,63,0.8125,0.0691,0.014,0.1611,0.0,0.0,0,B,247
2BKM,False,256,2,2334,True,0,nan,0.0408,0.0096,0.0807,0.0,0.0,0,B,61
2BRJ,False,519,3,5696,False,0,nan,0.0544,0.0115,0.0977,0.0,0.0,0,B,45
2CLR,False,770,6,7396,False,0,nan,0.039,0.025,0.3106,0.0,0.0,0,B,83
2CNN,False,253,3,2460,True,4,0.9528,0.0333,0.0233,0.257,0.0,0.0,0,C,6
2DXX,False,530,2,5496,True,26,0.97,0.1975,0.2995,0.9111,18.7,17.0,1,A,90
2EUF,False,526,2,5088,True,21,0.9921,0.0652,0.1614,0.8929,4.9,4.2,3,B,99
2GV1,False,92,1,812,False,0,nan,0.0311,0.0298,0.1934,0.0,0.0,0,A,16
2H5C,False,198,1,2216,False,0,nan,0.0843,0.1748,0.8508,6.6,6.1,1,A,195
2HM7,False,308,1,3150,False,0,nan,0.0668,0.1559,0.8756,4.5,4.5,2,A,156
2HNX,False,136,1,1266,True,9,0.9178,0.2159,0.1886,0.7266,19.1,8.1,2,A,36
2HQS,False,2072,8,22116,False,0,nan,0.0416,0.0815,0.9027,1.2,1.1,5,H,109
2J58,False,2760,8,27872,True,21,0.9902,0.0398,0.0748,0.8727,1.1,0.9,8,A,346
2JA3,False,1010,6,9090,True,83,0.9875,0.0586,0.1485,0.8805,4.2,4.0,12,A,724
2JGU,False,711,1,6720,False,0,nan,0.0477,0.1027,0.9285,1.7,1.4,2,A,211
2K1V,False,47,2,438,True,6,1.0,0.0748,0.0701,0.2988,0.0,0.0,0,A,5
2LZM,False,164,1,1506,False,0,nan,0.0439,0.0061,0.0703,0.0,0.0,0,A,109
2NLZ,False,2143,4,23838,False,0,nan,0.0532,0.119,0.8048,3.3,2.6,9,B,378
2NMO,False,138,1,1346,True,0,nan,0.0319,0.0014,0.0359,0.0,0.0,0,A,160
2NWX,False,1197,3,13182,True,49,0.9936,0.0411,0.1083,0.9468,1.5,1.5,3,A,355
2OQB,False,214,2,2064,False,0,nan,0.0436,0.007,0.0768,0.0,0.0,0,B,104
2P0R,False,642,4,6320,True,20,0.9897,0.0487,0.1257,0.8616,3.1,2.6,4,B,254
2P54,False,279,2,2562,True,18,0.6784,0.043,0.0168,0.1696,0.0,0.0,0,A,334
2PKT,False,91,1,842,True,12,0.98,0.0952,0.1649,0.7473,8.8,4.4,1,A,26
2Q1T,False,332,1,3346,True,33,0.995,0.1491,0.2836,0.9249,14.5,13.6,1,A,19
2QKH,False,126,2,1118,True,1,0.736,0.0416,0.0113,0.1116,0.0,0.0,0,A,122
2R8Q,False,670,2,6524,True,14,0.9895,0.0265,0.0234,0.3191,0.0,0.0,0,B,837
2VGO,False,629,4,5902,True,26,0.9941,0.0713,0.183,0.9364,5.9,5.6,3,A,172
2VO5,False,1674,2,17190,True,4,0.9516,0.0492,0.0966,0.8058,2.2,1.7,6,A,115
2WER,False,428,2,4102,True,30,0.981,0.0853,0.1978,0.926,7.5,6.8,2,A,81
2X6D,False,255,1,2460,True,18,0.9958,0.0878,0.207,0.9308,7.5,7.5,1,A,212
2XBP,False,113,1,972,True,11,0.6221,0.0371,0.0171,0.1024,0.0,0.0,0,A,33
2XHM,False,598,1,5896,True,8,0.9714,0.057,0.0983,0.7975,2.2,1.3,3,A,337
2YHW,False,308,1,3234,True,6,0.9525,0.0322,0.0451,0.3878,0.0,0.0,0,A,569
3C0I,False,298,1,2888,True,16,0.9834,0.0652,0.1583,0.9227,4.0,3.0,1,A,94
3CL7,False,604,2,5888,True,6,0.9766,0.0266,0.0127,0.1174,0.0,0.0,0,A,259
3D0E,False,644,2,6094,True,34,0.9825,0.0759,0.1818,0.9216,5.6,5.3,6,A,230
3EML,False,448,1,4198,True,7,0.9841,0.0321,0.0262,0.3274,0.0,0.0,0,A,249
3FU8,False,1116,2,11710,True,15,0.9758,0.0754,0.1851,0.9198,5.8,5.5,2,A,436
3GXD,False,1988,4,21220,True,24,0.9366,0.0549,0.1111,0.846,2.7,2.3,6,A,96
3HXM,False,637,1,6142,False,0,nan,0.0393,0.0235,0.3827,0.0,0.0,0,A,411
3KCW,False,110,1,994,False,0,nan,0.0568,0.0059,0.0785,0.0,0.0,0,A,101
3KQ4,False,2526,6,25356,True,96,0.9467,0.0667,0.0778,0.8176,1.3,0.6,6,A,414
3L7U,False,458,3,4522,False,0,nan,0.0545,0.0206,0.2185,0.0,0.0,0,B,42
3N86,False,3394,24,36006,True,471,0.9244,0.1869,0.2041,0.8061,16.7,8.2,9,A,101
3PXF,False,302,1,2830,True,12,0.9704,0.0871,0.1953,0.8703,6.6,6.3,2,A,55
1AXC,True,804,6,8496,False,0,nan,0.1147,0.2128,0.9128,10.9,9.3,6,A,26
1W60,True,510,2,4958,False,0,nan,0.133,0.2608,0.9109,12.5,11.8,4,B,26
1W61,True,710,2,7640,True,16,1.0,0.0536,0.1554,0.9332,3.4,3.4,2,B,130
8GLA,True,952,4,9606,True,48,0.9994,0.1324,0.2476,0.9377,12.7,11.9,6,A,232
